client_id,Delinquent90
75000,0.07
75001,0.6
75002,0.01
75003,0.19
75004,0.0
75005,0.02
75006,0.0
75007,0.0
75008,0.03
75009,0.11
75010,0.16
75011,0.0
75012,0.15
75013,0.0
75014,0.36
75015,0.36
75016,0.18
75017,0.05
75018,0.0
75019,0.09
75020,0.0
75021,0.05
75022,0.14
75023,0.0
75024,0.05
75025,0.15
75026,0.0
75027,0.0
75028,0.02
75029,0.0
75030,0.01
75031,0.0
75032,0.04
75033,0.05
75034,0.0
75035,0.0
75036,0.0
75037,0.01
75038,0.0
75039,0.1
75040,0.01
75041,0.0
75042,0.0
75043,0.0
75044,0.03
75045,0.14
75046,0.0
75047,0.02
75048,0.16
75049,0.17
75050,0.0
75051,0.0
75052,0.29
75053,0.01
75054,0.01
75055,0.02
75056,0.02
75057,0.1
75058,0.01
75059,0.1
75060,0.13
75061,0.0
75062,0.06
75063,0.0
75064,0.03
75065,0.02
75066,0.04
75067,0.03
75068,0.02
75069,0.02
75070,0.01
75071,0.09
75072,0.05
75073,0.0
75074,0.07
75075,0.01
75076,0.01
75077,0.03
75078,0.12
75079,0.0
75080,0.01
75081,0.2
75082,0.0
75083,0.03
75084,0.01
75085,0.01
75086,0.04
75087,0.0
75088,0.0
75089,0.01
75090,0.0
75091,0.06
75092,0.24
75093,0.01
75094,0.0
75095,0.02
75096,0.0
75097,0.04
75098,0.05
75099,0.01
75100,0.08
75101,0.0
75102,0.0
75103,0.02
75104,0.34
75105,0.16
75106,0.01
75107,0.1
75108,0.01
75109,0.01
75110,0.0
75111,0.09
75112,0.0
75113,0.0
75114,0.0
75115,0.01
75116,0.02
75117,0.0
75118,0.0
75119,0.38
75120,0.0
75121,0.14
75122,0.0
75123,0.25
75124,0.0
75125,0.01
75126,0.0
75127,0.02
75128,0.25
75129,0.06
75130,0.1
75131,0.01
75132,0.34
75133,0.01
75134,0.3
75135,0.06
75136,0.28
75137,0.0
75138,0.0
75139,0.03
75140,0.0
75141,0.01
75142,0.1
75143,0.01
75144,0.13
75145,0.39
75146,0.13
75147,0.0
75148,0.07
75149,0.02
75150,0.42
75151,0.05
75152,0.13
75153,0.03
75154,0.03
75155,0.02
75156,0.0
75157,0.0
75158,0.02
75159,0.03
75160,0.02
75161,0.04
75162,0.25
75163,0.01
75164,0.0
75165,0.0
75166,0.07
75167,0.15
75168,0.04
75169,0.03
75170,0.12
75171,0.01
75172,0.03
75173,0.0
75174,0.01
75175,0.02
75176,0.04
75177,0.01
75178,0.0
75179,0.05
75180,0.0
75181,0.08
75182,0.11
75183,0.02
75184,0.36
75185,0.07
75186,0.04
75187,0.0
75188,0.08
75189,0.0
75190,0.11
75191,0.05
75192,0.11
75193,0.0
75194,0.34
75195,0.01
75196,0.07
75197,0.06
75198,0.11
75199,0.02
75200,0.0
75201,0.41
75202,0.08
75203,0.0
75204,0.07
75205,0.02
75206,0.01
75207,0.18
75208,0.02
75209,0.01
75210,0.01
75211,0.04
75212,0.12
75213,0.06
75214,0.12
75215,0.01
75216,0.0
75217,0.2
75218,0.01
75219,0.03
75220,0.09
75221,0.07
75222,0.0
75223,0.0
75224,0.06
75225,0.02
75226,0.0
75227,0.0
75228,0.03
75229,0.13
75230,0.09
75231,0.0
75232,0.1
75233,0.0
75234,0.12
75235,0.0
75236,0.05
75237,0.16
75238,0.08
75239,0.0
