client_id,Delinquent90
75000,0.04
75001,0.58
75002,0.01
75003,0.12
75004,0.0
75005,0.06
75006,0.02
75007,0.0
75008,0.01
75009,0.07
75010,0.15
75011,0.01
75012,0.09
75013,0.0
75014,0.37
75015,0.27
75016,0.18
75017,0.02
75018,0.0
75019,0.12
75020,0.03
75021,0.06
75022,0.13
75023,0.01
75024,0.04
75025,0.23
75026,0.0
75027,0.0
75028,0.04
75029,0.0
75030,0.01
75031,0.0
75032,0.03
75033,0.06
75034,0.01
75035,0.0
75036,0.02
75037,0.01
75038,0.0
75039,0.11
75040,0.02
75041,0.02
75042,0.01
75043,0.02
75044,0.04
75045,0.1
75046,0.01
75047,0.04
75048,0.2
75049,0.18
75050,0.01
75051,0.0
75052,0.32
75053,0.0
75054,0.01
75055,0.03
75056,0.04
75057,0.05
75058,0.02
75059,0.05
75060,0.16
75061,0.0
75062,0.11
75063,0.0
75064,0.05
75065,0.02
75066,0.03
75067,0.03
75068,0.04
75069,0.0
75070,0.03
75071,0.08
75072,0.05
75073,0.03
75074,0.12
75075,0.01
75076,0.01
75077,0.07
75078,0.2
75079,0.0
75080,0.02
75081,0.17
75082,0.01
75083,0.04
75084,0.0
75085,0.02
75086,0.04
75087,0.0
75088,0.0
75089,0.03
75090,0.0
75091,0.06
75092,0.17
75093,0.0
75094,0.03
75095,0.05
75096,0.0
75097,0.01
75098,0.02
75099,0.08
75100,0.12
75101,0.03
75102,0.0
75103,0.02
75104,0.16
75105,0.07
75106,0.02
75107,0.02
75108,0.0
75109,0.01
75110,0.0
75111,0.13
75112,0.01
75113,0.01
75114,0.0
75115,0.04
75116,0.0
75117,0.0
75118,0.01
75119,0.38
75120,0.0
75121,0.03
75122,0.01
75123,0.15
75124,0.01
75125,0.0
75126,0.02
75127,0.02
75128,0.2
75129,0.04
75130,0.16
75131,0.03
75132,0.31
75133,0.01
75134,0.24
75135,0.03
75136,0.14
75137,0.0
75138,0.0
75139,0.07
75140,0.0
75141,0.0
75142,0.1
75143,0.02
75144,0.16
75145,0.42
75146,0.17
75147,0.01
75148,0.05
75149,0.03
75150,0.37
75151,0.03
75152,0.17
75153,0.03
75154,0.01
75155,0.01
75156,0.0
75157,0.0
75158,0.01
75159,0.02
75160,0.04
75161,0.01
75162,0.27
75163,0.02
75164,0.01
75165,0.0
75166,0.06
75167,0.06
75168,0.02
75169,0.02
75170,0.13
75171,0.03
75172,0.05
75173,0.01
75174,0.01
75175,0.0
75176,0.03
75177,0.01
75178,0.0
75179,0.01
75180,0.0
75181,0.11
75182,0.07
75183,0.02
75184,0.35
75185,0.07
75186,0.06
75187,0.0
75188,0.05
75189,0.0
75190,0.13
75191,0.06
75192,0.09
75193,0.01
75194,0.34
75195,0.0
75196,0.07
75197,0.04
75198,0.14
75199,0.03
75200,0.02
75201,0.29
75202,0.05
75203,0.0
75204,0.06
75205,0.01
75206,0.02
75207,0.19
75208,0.0
75209,0.02
75210,0.0
75211,0.08
75212,0.16
75213,0.03
75214,0.18
75215,0.03
75216,0.0
75217,0.15
75218,0.05
75219,0.06
75220,0.02
75221,0.02
75222,0.0
75223,0.01
75224,0.04
75225,0.03
75226,0.0
75227,0.0
75228,0.05
75229,0.09
75230,0.13
75231,0.02
75232,0.16
75233,0.0
75234,0.07
75235,0.0
75236,0.05
75237,0.12
75238,0.07
75239,0.0
75240,0.01
75241,0.01
75242,0.25
75243,0.0
75244,0.0
75245,0.14
75246,0.03
75247,0.01
75248,0.01
75249,0.01
75250,0.05
75251,0.02
75252,0.01
75253,0.01
75254,0.02
75255,0.0
75256,0.0
75257,0.15
75258,0.02
75259,0.18
75260,0.11
75261,0.05
75262,0.08
75263,0.0
75264,0.0
75265,0.03
75266,0.02
75267,0.01
75268,0.02
75269,0.01
75270,0.04
75271,0.05
75272,0.37
75273,0.01
75274,0.18
75275,0.01
75276,0.06
75277,0.0
75278,0.07
75279,0.01
75280,0.01
75281,0.05
75282,0.0
75283,0.02
75284,0.02
75285,0.0
75286,0.01
75287,0.09
75288,0.08
75289,0.01
75290,0.0
75291,0.0
75292,0.06
75293,0.38
75294,0.04
75295,0.06
75296,0.0
75297,0.0
75298,0.01
75299,0.0
75300,0.06
75301,0.39
75302,0.03
75303,0.0
75304,0.21
75305,0.0
75306,0.01
75307,0.05
75308,0.0
75309,0.05
75310,0.01
75311,0.06
75312,0.0
75313,0.21
75314,0.01
75315,0.0
75316,0.01
75317,0.02
75318,0.17
75319,0.01
75320,0.21
75321,0.03
75322,0.02
75323,0.04
75324,0.02
75325,0.32
75326,0.04
75327,0.25
75328,0.04
75329,0.1
75330,0.0
75331,0.0
75332,0.01
75333,0.11
75334,0.0
75335,0.12
75336,0.01
75337,0.22
75338,0.0
75339,0.02
75340,0.01
75341,0.01
75342,0.01
75343,0.07
75344,0.11
75345,0.02
75346,0.08
75347,0.04
75348,0.0
75349,0.04
75350,0.0
75351,0.0
75352,0.04
75353,0.0
75354,0.28
75355,0.02
75356,0.26
75357,0.12
75358,0.0
75359,0.01
75360,0.01
75361,0.3
75362,0.06
75363,0.0
75364,0.01
75365,0.05
75366,0.0
75367,0.0
75368,0.0
75369,0.31
75370,0.02
75371,0.0
75372,0.02
75373,0.28
75374,0.03
75375,0.02
75376,0.0
75377,0.08
75378,0.02
75379,0.02
75380,0.0
75381,0.01
75382,0.17
75383,0.19
75384,0.01
75385,0.03
75386,0.05
75387,0.09
75388,0.0
75389,0.01
75390,0.0
75391,0.06
75392,0.0
